index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels-5,n-false-labels-5,n-true-labels,n-false-labels,times
0,0.7264150943396226,0.625,0.5764907135874878,0.8241259466749663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.7075471698113207,0.6111111111111112,0.6666666666666666,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.016525745391845703
2,0.4056603773584906,0.3055555555555556,0.42424242424242425,0.3950617283950617,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0.014965057373046875
3,0.16981132075471697,0.06944444444444445,0.13954056695992179,0.06172839506172839,3,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0.015707015991210938
4,0.16981132075471697,0.06944444444444445,0.13636363636363638,0.06172839506172839,4,1,0,1,0,1,0,0,0,0,0,1,0,4,0,0.01597285270690918
5,0.1320754716981132,0.05555555555555555,0.10606060606060606,0.04938271604938271,5,1,0,1,0,1,0,0,0,1,0,1,0,5,0,0.01591205596923828
6,0.1320754716981132,0.06944444444444445,0.10606060606060606,0.06172839506172839,6,1,0,1,0,1,0,1,0,1,0,1,0,6,0,0.01591014862060547
7,0.14150943396226415,0.09722222222222222,0.11363636363636363,0.08641975308641975,7,1,0,1,0,1,0,1,0,1,0,2,0,7,0,0.015510082244873047
8,0.22641509433962265,0.20833333333333334,0.1818181818181818,0.1851851851851852,8,1,0,1,0,1,0,1,1,1,0,2,0,7,1,0.015555858612060547
9,0.33962264150943394,0.3055555555555556,0.27272727272727276,0.2716049382716049,8,1,0,1,1,1,0,1,1,1,0,2,0,7,2,0.01650524139404297
10,0.33962264150943394,0.2777777777777778,0.27272727272727276,0.24691358024691357,8,1,1,1,1,1,0,1,1,1,0,2,0,7,3,0.01621103286743164
11,0.22641509433962265,0.2222222222222222,0.1818181818181818,0.19753086419753085,9,1,1,1,1,1,0,1,1,1,0,3,0,8,3,0.016224145889282227
12,0.16981132075471697,0.1388888888888889,0.13636363636363638,0.12345679012345678,9,1,1,1,1,1,0,1,1,2,0,3,0,9,3,0.016340970993041992
13,0.16981132075471697,0.19444444444444445,0.15542521994134897,0.16887125220458554,10,1,1,1,1,1,0,1,1,2,1,3,0,9,4,0.01602792739868164
14,0.1509433962264151,0.19444444444444445,0.1402737047898338,0.16887125220458554,11,1,1,1,1,2,0,1,1,2,1,3,0,10,4,0.0161740779876709
15,0.12264150943396226,0.1111111111111111,0.10483870967741936,0.0974426807760141,12,1,1,1,1,2,0,1,1,2,1,4,0,11,4,0.016736984252929688
16,0.12264150943396226,0.1111111111111111,0.10483870967741936,0.0974426807760141,13,1,1,1,1,2,0,1,1,2,1,5,0,12,4,0.016720294952392578
17,0.14150943396226415,0.125,0.1295210166177908,0.10934744268077601,14,1,1,1,1,2,0,1,1,2,1,5,1,12,5,0.01628899574279785
18,0.18867924528301888,0.1527777777777778,0.18328445747800584,0.1485631289552858,15,1,1,1,1,2,1,1,1,2,1,5,1,12,6,0.016788005828857422
19,0.14150943396226415,0.125,0.1295210166177908,0.10934744268077601,15,1,1,1,1,2,1,1,1,3,1,5,1,13,6,0.017019033432006836
20,0.18867924528301888,0.1527777777777778,0.18328445747800584,0.1485631289552858,16,1,1,1,1,2,1,1,1,3,1,5,2,13,7,0.016966819763183594
21,0.27358490566037735,0.25,0.28005865102639294,0.2858180309160701,16,1,1,1,1,2,1,1,2,3,1,5,2,13,8,0.016366004943847656
22,0.27358490566037735,0.25,0.28005865102639294,0.2858180309160701,16,1,2,1,1,2,1,1,2,3,1,5,2,13,9,0.01727771759033203
23,0.16037735849056603,0.125,0.15102639296187684,0.10934744268077601,16,1,2,1,1,2,1,1,2,3,1,6,2,14,9,0.016778945922851562
24,0.2358490566037736,0.20833333333333334,0.23704789833822093,0.22699450150430542,17,1,2,1,1,2,1,1,2,3,1,6,3,14,10,0.016437292098999023
25,0.20754716981132076,0.20833333333333334,0.2143206256109482,0.22699450150430542,18,1,2,1,1,2,1,1,2,3,1,7,3,15,10,0.01614212989807129
26,0.24528301886792453,0.2777777777777778,0.25733137829912023,0.2865183110281149,19,1,2,1,2,2,1,1,2,3,1,7,3,15,11,0.016314029693603516
27,0.25471698113207547,0.2916666666666667,0.2649071358748778,0.2984230729328769,20,1,2,1,2,2,1,1,2,4,1,7,3,16,11,0.01625514030456543
28,0.2830188679245283,0.2777777777777778,0.2971652003910068,0.2865183110281149,21,1,2,1,2,2,2,1,2,4,1,7,3,16,12,0.01695108413696289
29,0.3018867924528302,0.3055555555555556,0.31867057673509286,0.31032783483763876,22,1,2,1,2,2,2,1,3,4,1,7,3,16,13,0.016420841217041016
30,0.3018867924528302,0.3333333333333333,0.3218475073313783,0.34954352111214854,23,1,2,1,2,2,3,1,3,4,1,7,3,16,14,0.016243934631347656
31,0.2830188679245283,0.3055555555555556,0.3003421309872923,0.32573399730262476,24,2,2,1,2,2,3,1,3,4,1,7,3,17,14,0.016373157501220703
32,0.2830188679245283,0.2638888888888889,0.3035190615835777,0.28957879448075524,25,2,2,1,2,3,3,1,3,4,1,7,3,18,14,0.01650404930114746
33,0.27358490566037735,0.2638888888888889,0.29594330400782015,0.28957879448075524,26,2,2,1,2,3,3,1,3,5,1,7,3,19,14,0.016173124313354492
34,0.25471698113207547,0.2638888888888889,0.2744379276637341,0.290019711588339,27,3,2,1,2,3,3,1,3,5,1,7,3,20,14,0.016386985778808594
35,0.2358490566037736,0.16666666666666666,0.2529325513196481,0.17587405332503372,28,3,2,1,2,3,3,1,3,5,1,8,3,21,14,0.016594886779785156
36,0.22641509433962265,0.16666666666666666,0.24535679374389052,0.17587405332503372,29,3,2,1,2,3,3,1,3,5,1,9,3,22,14,0.015974760055541992
37,0.22641509433962265,0.16666666666666666,0.24535679374389052,0.17587405332503372,30,3,2,1,2,4,3,1,3,5,1,9,3,23,14,0.01620197296142578
38,0.22641509433962265,0.16666666666666666,0.24535679374389052,0.17587405332503372,31,3,2,1,2,4,3,1,3,6,1,9,3,24,14,0.017267942428588867
39,0.2169811320754717,0.1527777777777778,0.23778103616813295,0.16352837431268805,32,3,2,1,2,5,3,1,3,6,1,9,3,25,14,0.016384124755859375
40,0.2169811320754717,0.1527777777777778,0.23778103616813295,0.16352837431268805,33,3,2,1,2,5,4,1,3,6,1,9,3,25,15,0.01590728759765625
41,0.20754716981132076,0.1527777777777778,0.22702834799608995,0.16352837431268805,34,3,2,1,2,6,4,1,3,6,1,9,3,26,15,0.016215085983276367
42,0.2169811320754717,0.1527777777777778,0.23460410557184752,0.16352837431268805,35,3,2,1,2,6,4,1,3,6,2,9,3,26,16,0.016255855560302734
43,0.2169811320754717,0.1527777777777778,0.23460410557184752,0.16352837431268805,36,3,2,1,2,6,4,1,3,7,2,9,3,27,16,0.017805099487304688
44,0.2169811320754717,0.1527777777777778,0.23460410557184752,0.16352837431268805,37,3,2,1,2,6,4,1,3,8,2,9,3,28,16,0.0168612003326416
45,0.22641509433962265,0.1527777777777778,0.24535679374389052,0.16352837431268805,38,3,2,1,2,6,4,1,3,8,2,10,3,29,16,0.015915870666503906
46,0.2169811320754717,0.1388888888888889,0.23778103616813295,0.15118269530034237,39,3,2,1,2,6,4,1,3,8,2,11,3,30,16,0.01605987548828125
47,0.2169811320754717,0.125,0.23778103616813295,0.13927793339558045,40,3,2,1,2,6,4,1,3,9,2,11,3,31,16,0.015404939651489258
48,0.2169811320754717,0.1388888888888889,0.23778103616813295,0.15888577653283534,41,3,2,1,2,6,4,1,3,9,2,11,4,31,17,0.015818119049072266
49,0.20754716981132076,0.1388888888888889,0.22702834799608995,0.15888577653283534,42,3,2,1,2,6,4,1,3,9,2,12,4,32,17,0.01618790626525879
50,0.20754716981132076,0.1388888888888889,0.22702834799608995,0.15888577653283534,43,3,2,1,2,7,4,1,3,9,2,12,4,33,17,0.015835046768188477
51,0.19811320754716982,0.1388888888888889,0.21945259042033238,0.15888577653283534,44,3,2,1,2,7,4,1,3,9,2,13,4,34,17,0.015999794006347656
52,0.19811320754716982,0.125,0.21945259042033238,0.1465400975204897,45,3,2,1,2,8,4,1,3,9,2,13,4,35,17,0.016147136688232422
53,0.19811320754716982,0.125,0.21945259042033238,0.1465400975204897,46,3,2,1,2,8,4,1,3,10,2,13,4,36,17,0.016073942184448242
54,0.20754716981132076,0.1388888888888889,0.23020527859237538,0.15844485942525158,47,3,2,1,2,8,4,1,3,10,3,13,4,36,18,0.015675067901611328
55,0.22641509433962265,0.19444444444444445,0.24535679374389052,0.2078275754746343,48,3,2,1,2,8,5,1,3,10,3,13,4,36,19,0.015700101852416992
56,0.22641509433962265,0.25,0.24535679374389052,0.2554466230936819,49,3,2,1,2,8,5,1,4,10,3,13,4,36,20,0.01574993133544922
57,0.22641509433962265,0.20833333333333334,0.24535679374389052,0.2197323373793962,50,3,2,1,2,9,5,1,4,10,3,13,4,37,20,0.016414165496826172
58,0.22641509433962265,0.20833333333333334,0.24535679374389052,0.21929142027181245,51,3,2,1,2,9,6,1,4,10,3,13,4,37,21,0.016083955764770508
59,0.22641509433962265,0.20833333333333334,0.24535679374389052,0.21929142027181245,51,3,2,1,2,9,6,1,4,10,3,13,5,37,22,0.01585698127746582
60,0.20754716981132076,0.2222222222222222,0.2238514173998045,0.2311961821765743,52,3,2,1,2,9,6,1,4,10,3,14,5,38,22,0.015924930572509766
61,0.22641509433962265,0.20833333333333334,0.2421798631476051,0.2115883390393194,53,3,2,1,2,9,6,1,4,10,3,14,6,38,23,0.016130924224853516
62,0.22641509433962265,0.20833333333333334,0.2421798631476051,0.2115883390393194,54,3,2,1,2,10,6,1,4,10,3,14,6,39,23,0.016228914260864258
63,0.2169811320754717,0.2222222222222222,0.23460410557184752,0.22349310094408134,55,3,2,1,2,11,6,1,4,10,3,14,6,40,23,0.015767812728881836
64,0.2169811320754717,0.2222222222222222,0.23460410557184752,0.22349310094408134,56,3,2,1,2,11,6,1,4,11,3,14,6,41,23,0.01587700843811035
65,0.22641509433962265,0.2222222222222222,0.2421798631476051,0.22349310094408134,57,3,2,1,2,11,6,1,4,11,3,14,7,41,24,0.015774250030517578
66,0.2358490566037736,0.2222222222222222,0.2529325513196481,0.22349310094408134,58,3,2,1,2,11,6,1,4,11,3,14,8,41,25,0.015583038330078125
67,0.2358490566037736,0.2222222222222222,0.2529325513196481,0.22349310094408134,59,3,2,1,2,11,6,1,4,11,3,15,8,42,25,0.015902042388916016
68,0.2358490566037736,0.20833333333333334,0.2529325513196481,0.2115883390393194,60,3,2,1,2,11,6,1,4,11,3,16,8,43,25,0.015958070755004883
69,0.24528301886792453,0.19444444444444445,0.26050830889540566,0.19968357713455753,61,3,2,1,2,11,6,1,4,11,4,16,8,43,26,0.0160980224609375
70,0.2358490566037736,0.19444444444444445,0.24975562072336266,0.19968357713455753,62,3,2,1,2,11,6,2,4,11,4,16,8,44,26,0.015921831130981445
71,0.22641509433962265,0.19444444444444445,0.23900293255131966,0.19968357713455753,63,3,2,1,2,11,6,2,4,11,4,17,8,45,26,0.016576766967773438
72,0.22641509433962265,0.19444444444444445,0.23900293255131966,0.19968357713455753,64,3,2,1,2,11,6,2,4,11,4,18,8,46,26,0.016544103622436523
73,0.20754716981132076,0.18055555555555555,0.21749755620723363,0.1877788152297956,64,3,2,1,2,11,6,2,4,11,4,19,8,47,26,0.01605391502380371
74,0.20754716981132076,0.18055555555555555,0.21749755620723363,0.1877788152297956,64,4,2,1,2,11,6,2,4,11,4,19,8,48,26,0.016077041625976562
75,0.22641509433962265,0.2222222222222222,0.23900293255131966,0.22349310094408134,64,4,2,1,2,11,7,2,4,11,4,19,8,48,27,0.015249013900756836
76,0.19811320754716982,0.19444444444444445,0.20674486803519063,0.19968357713455753,65,4,2,1,2,11,7,2,4,12,4,19,8,49,27,0.015717029571533203
77,0.18867924528301888,0.18055555555555555,0.19599217986314757,0.1877788152297956,66,4,2,1,2,12,7,2,4,12,4,19,8,50,27,0.015897035598754883
78,0.18867924528301888,0.18055555555555555,0.19599217986314757,0.1877788152297956,66,4,2,1,2,12,7,2,5,12,4,19,8,50,28,0.016038179397583008
79,0.1792452830188679,0.18055555555555555,0.18523949169110457,0.1877788152297956,67,4,2,1,2,12,7,2,5,13,4,19,8,51,28,0.015758752822875977
80,0.1792452830188679,0.19444444444444445,0.18523949169110457,0.19968357713455753,68,4,2,1,2,12,7,2,5,13,4,20,8,52,28,0.01617598533630371
81,0.1792452830188679,0.19444444444444445,0.18523949169110457,0.19968357713455753,69,4,2,1,2,13,7,2,5,13,4,20,8,53,28,0.015736103057861328
82,0.1792452830188679,0.19444444444444445,0.18523949169110457,0.19968357713455753,70,4,2,1,2,14,7,2,5,13,4,20,8,54,28,0.016231060028076172
83,0.18867924528301888,0.19444444444444445,0.19599217986314757,0.19968357713455753,71,4,2,1,2,14,7,2,5,13,4,20,9,54,29,0.01665472984313965
84,0.1792452830188679,0.19444444444444445,0.18841642228739,0.19968357713455753,71,4,2,1,2,14,7,3,5,13,4,20,9,55,29,0.015781164169311523
85,0.1792452830188679,0.19444444444444445,0.18841642228739,0.19968357713455753,71,5,2,1,2,14,7,3,5,13,4,20,9,56,29,0.01540684700012207
86,0.18867924528301888,0.20833333333333334,0.19916911045943306,0.21929142027181245,71,5,2,1,3,14,7,3,5,13,4,20,9,56,30,0.016099214553833008
87,0.20754716981132076,0.2361111111111111,0.2206744868035191,0.24310094408133623,72,5,2,1,3,14,7,3,5,13,4,21,9,57,30,0.01584315299987793
88,0.19811320754716982,0.2361111111111111,0.21309872922776152,0.24310094408133623,72,5,2,1,3,15,7,3,5,13,4,21,9,58,30,0.015520095825195312
89,0.20754716981132076,0.2361111111111111,0.2206744868035191,0.24310094408133623,72,5,2,1,3,15,7,3,6,13,4,21,9,58,31,0.01626896858215332
90,0.20754716981132076,0.25,0.2206744868035191,0.2554466230936819,73,5,2,1,3,15,7,3,6,13,5,21,9,58,32,0.015730857849121094
91,0.20754716981132076,0.2361111111111111,0.2206744868035191,0.24310094408133623,74,5,2,1,3,15,7,3,6,13,5,22,9,59,32,0.015922069549560547
92,0.19811320754716982,0.2222222222222222,0.20992179863147606,0.2311961821765743,74,5,2,2,3,15,7,3,6,13,5,22,9,60,32,0.015838146209716797
93,0.19811320754716982,0.19444444444444445,0.20992179863147606,0.2073866583670505,74,5,2,2,4,15,7,3,6,13,5,22,9,60,33,0.016002893447875977
94,0.18867924528301888,0.19444444444444445,0.19916911045943306,0.2073866583670505,74,5,2,2,4,16,7,3,6,13,5,22,9,61,33,0.015733003616333008
95,0.1792452830188679,0.18055555555555555,0.18841642228739,0.1877788152297956,75,5,2,2,4,16,7,3,6,13,5,23,9,62,33,0.01585102081298828
96,0.1792452830188679,0.18055555555555555,0.18841642228739,0.1877788152297956,75,5,2,2,4,16,7,3,6,13,5,23,10,62,34,0.01577901840209961
97,0.16981132075471697,0.18055555555555555,0.177663734115347,0.1877788152297956,75,5,2,2,4,17,7,3,6,13,5,23,10,63,34,0.015951156616210938
98,0.16981132075471697,0.18055555555555555,0.177663734115347,0.1877788152297956,75,6,2,2,4,17,7,3,6,13,5,23,10,64,34,0.01786494255065918
99,0.1792452830188679,0.18055555555555555,0.18841642228739,0.1877788152297956,76,6,2,2,4,17,7,3,6,13,6,23,10,64,35,0.01661396026611328
100,0.1792452830188679,0.18055555555555555,0.18841642228739,0.1877788152297956,76,6,2,2,4,18,7,3,6,13,6,23,10,65,35,0.01652979850769043
101,0.1792452830188679,0.18055555555555555,0.18841642228739,0.1877788152297956,77,6,2,2,4,18,7,3,6,14,6,23,10,66,35,0.01648998260498047
102,0.1792452830188679,0.18055555555555555,0.18841642228739,0.1877788152297956,78,6,2,2,4,18,7,3,6,14,6,24,10,67,35,0.01592397689819336
103,0.18867924528301888,0.18055555555555555,0.19599217986314757,0.1877788152297956,79,6,2,2,4,18,7,3,6,14,7,24,10,67,36,0.015845775604248047
104,0.18867924528301888,0.16666666666666666,0.19599217986314757,0.17543313621744994,80,6,2,2,4,18,7,3,6,14,7,25,10,68,36,0.016849994659423828
105,0.18867924528301888,0.1527777777777778,0.19599217986314757,0.15582529308019502,81,6,2,2,4,18,7,3,6,14,7,26,10,69,36,0.015605926513671875
106,0.1792452830188679,0.1527777777777778,0.18523949169110457,0.15582529308019502,81,6,2,2,4,18,7,3,6,14,7,27,10,70,36,0.015398740768432617
107,0.1792452830188679,0.1527777777777778,0.18523949169110457,0.15582529308019502,81,7,2,2,4,18,7,3,6,14,7,27,10,71,36,0.015496969223022461
108,0.16981132075471697,0.1388888888888889,0.17448680351906157,0.14392053117543313,82,7,2,2,4,18,7,3,6,15,7,27,10,72,36,0.01519012451171875
109,0.1792452830188679,0.125,0.18523949169110457,0.13157485216308748,82,7,2,2,4,18,7,3,6,15,7,27,11,72,37,0.015379905700683594
110,0.1792452830188679,0.1111111111111111,0.18523949169110457,0.11196700902583256,83,7,2,2,4,18,7,4,6,15,7,27,11,73,37,0.016021013259887695
111,0.16981132075471697,0.1111111111111111,0.17448680351906157,0.11196700902583256,83,7,2,2,4,18,7,5,6,15,7,27,11,74,37,0.015765905380249023
112,0.16037735849056603,0.125,0.16373411534701857,0.12431268803817823,83,7,2,2,4,18,7,6,6,15,7,27,11,75,37,0.041175127029418945
113,0.16037735849056603,0.1111111111111111,0.16373411534701857,0.11196700902583256,83,8,2,2,4,18,7,6,6,15,7,27,11,76,37,0.0215909481048584
114,0.14150943396226415,0.08333333333333333,0.14858260019550343,0.08727565100114121,83,8,2,2,4,18,7,7,6,15,7,27,11,77,37,0.015647172927856445
115,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,83,8,3,2,4,18,7,7,6,15,7,27,11,77,38,0.01568007469177246
116,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,83,8,3,2,4,18,7,7,6,15,7,27,12,77,39,0.015507936477661133
117,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,84,9,3,2,4,18,7,7,6,15,7,27,12,78,39,0.015801668167114258
118,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,84,9,3,2,4,18,7,7,6,16,7,27,12,79,39,0.01561594009399414
119,0.16981132075471697,0.16666666666666666,0.17448680351906157,0.16046789086004773,84,9,3,2,4,18,7,7,6,16,7,27,13,79,40,0.015697956085205078
120,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,84,10,3,2,4,18,7,7,6,16,7,27,13,80,40,0.01580023765563965
121,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,85,10,3,2,4,19,7,7,6,16,7,27,13,81,40,0.015314102172851562
122,0.16037735849056603,0.1388888888888889,0.16373411534701857,0.13665836705052392,86,10,3,2,4,20,7,7,6,16,7,27,13,82,40,0.015663862228393555
123,0.16981132075471697,0.1388888888888889,0.17130987292277614,0.13665836705052392,87,10,3,2,4,20,7,7,6,16,8,27,13,82,41,0.015883922576904297
124,0.1792452830188679,0.1527777777777778,0.1788856304985337,0.14900404606286957,87,10,4,2,4,20,7,7,6,16,8,27,13,82,42,0.0156557559967041
125,0.16981132075471697,0.1388888888888889,0.17130987292277614,0.13665836705052392,87,10,4,3,4,20,7,7,6,16,8,27,13,83,42,0.016598939895629883
126,0.16037735849056603,0.16666666666666666,0.16055718475073313,0.16134972507521528,87,10,4,3,4,21,7,7,6,16,8,27,13,84,42,0.016263961791992188
127,0.16981132075471697,0.1527777777777778,0.17130987292277614,0.14900404606286957,87,11,4,3,4,21,7,7,6,16,8,27,13,85,42,0.015842199325561523
128,0.16037735849056603,0.1527777777777778,0.16055718475073313,0.14900404606286957,88,11,4,3,4,21,7,7,6,16,8,28,13,86,42,0.015545845031738281
129,0.1792452830188679,0.1527777777777778,0.1788856304985337,0.14900404606286957,88,11,4,3,4,21,7,7,6,16,9,28,13,86,43,0.015414953231811523
130,0.18867924528301888,0.1527777777777778,0.18646138807429133,0.14900404606286957,88,11,4,3,4,21,7,7,6,16,9,28,14,86,44,0.014940023422241211
131,0.1792452830188679,0.1388888888888889,0.1788856304985337,0.13665836705052392,88,11,4,3,4,21,7,7,6,16,10,28,14,86,45,0.015290021896362305
